GrantNumber,OutputId,Title,Year
132288,4565A90B-4834-4C5E-80B7-CF76830CC8CA,"Best Prize Poster Presentation Clinical Research 2014. Schweizerische Gesellschaft für Endokrinologie und Diabetologie. 
Poster: Bartelsen-Raemy, Annabelle/Gredig, Daniel: Experiences of Stigma in People living with Diabetes Mellitus in Switzerland. Poster 27. Annual Meeting of the Swiss Society of Endocrinology and Diabetes. Berne. 28.11.2014.
",2014
168431,975A58CA-8A14-4334-A271-BE8DAFE8B53A,Society of Research Fellows (SRF) travel grant,2017
155136,D31062CD-477F-4A68-AD30-CF3A826508EB,Guy C. Berry Graduate Student Research Award,2017
155136,B4FB6714-4833-424E-AD32-F6C1BAAC0021,2017 Sacks Prize for best thesis in mathematical logic worldwide,2018
156367,CE2F77C2-D507-4BBE-8620-A7B592ED7405,Poster-prize on the Christmas symposium 2016,2016
138780,F2F5EB2D-097D-4634-9159-2590A02A4355,SAGE/ Organization Award,2012
168393,32DBD576-44D3-45AA-9BE6-F020831383EC,Faculty of Science PhD Tuition Award,2017
168393,D71FA87D-8E8B-4F06-A428-4308614AFA95,International Tuition Award,2016
168393,FE82E64B-99A7-46BC-8038-9F52503B0FF1,International Tuition Award,2017
168393,C14C7DD5-CBFE-476E-8CCC-0C8F63A36FCD,Faculty of Science PhD Tuition Award,2016
168393,6317355C-6A33-4494-BE26-8E6C8A78CA8D,Internation Tuition Award,2017
155253,79108B87-9D18-4AF9-8D36-F1E472F8EACF,Most significant scientific contribution. (Interne Auszeichnung meiner Abteilung),2014
148509,F580400D-F4BD-45CC-AD9B-F7C473F6CD6D,"Dispute Resolution Research Center Research Grant, Kellogg School of Management",2015
148509,A32C29FA-147C-41A1-8DE0-A2BA297DB93B,SIOP Student Travel Award,2015
148509,1D3C6FB3-2494-4ACB-B955-C77B6B1F4147,IACM-DRRC Scholar Award,2014
164420,B52C67A9-B50A-4EAE-A6D5-46ADF0F05498,"Membre associée de l'ATILF-CNRS, équipe ""Ressources""",2017
164420,269A0863-CCC1-4783-AA79-CAF7EA5A0D68,"Member of the Steering Committee of the Special Interest Group ""Digital Litarary Stylistics"", part of the ADHO.",2018
164420,9DDFF6F8-CA56-41D9-ADDA-8ED831CB9392,"Membre du comité scientifique du colloque ""Empathies"", colloque annuel de la SLSA-EU (European Society for Literature, Science and the Arts), organisé à l'Université de Bâle du 21 au 24 juin 2017 par Manuela Rossini.",2016
158862,E782E67E-2C4B-4F30-B122-2862D571C75E,Bourse Philibert Collart,2016
155291,2427BB1B-5B30-4775-AB0F-F7A54C27EEEE,"3rd Best Presentation Award in the ULg Research Unit Day, 27 Oct 2014, Spa, Belgium.",2014
165329,C66EB03C-4E08-496C-9744-D2BD2D942148,Best dissertation prize by the Faculty of Business and Economics at the University of Basel,2018
191263,D7E6E0F8-353A-46D6-A806-E8A86F4B479E,Francesco Paris Award the by Joint Conference EWGCFM & FIBA 2021,2021
134835,2BDBA64F-F587-484F-8B28-C8BEE832D640,"Runner-up (2nd prize) ""Medical Humanities"" of the Swiss Academy of Medical Sciences for the publication:

Schoeb, V., Hartmeier, A. & Keel S. (forthcoming) Transfer von Forschungsresultaten zur Austrittsplanung in drei Schweizer Rehabilitationskliniken: Reflektion als Sprungbrett für Veränderungen im Praxisalltag. ",2014
142761,46F139C5-1B1F-4734-84D6-05FFE28ECBD7,Swiss Society of General Internal Medicine (SGIM) - 2013 Award for the best original contribution in 2012,2013
171930,090D6BB0-F415-4431-B5F9-AAFDF526BDB0,"Nomination for Best Paper Award. European Academy of Management 2017, Glasgow, UK.",2017
155196,63CD0971-EFDA-4D41-ABB5-C46C40A9C755,Travel Award,2016
148536,3EBE09CE-DD4A-4EEB-8DC2-148EFA2CC1DE,Prix de la Relève / ASSH,2016
165018,546B1C9F-2E34-4180-91B7-88490D440ECD,"Oxford IT Innovation Seed Fund, award funding to develop and publish O A R. Won by the 4 founders and editors of O A R. (https://blogs.it.ox.ac.uk/innovation-challenges/oar/) - All the money of the award went toward the development of the journal",2016
174909,021FD990-46FE-41F3-A8DF-0CA58E3DE77D,"Honorable Mention, APSA Best Book Prize in European Politics 2029",2020
157834,DC62BE4F-30BD-42A0-BA26-987256B85E75,"Poster prize, International Conference on Laser Spectroscopy 2017",2017
171050,500CAD7C-8745-4E0E-83FE-7CA11956B72B,"EMBO poster award - ThymE Meeting , Rehovot, Israel",2019
158825,470ED68B-2ED0-407C-BD22-F0C013E0A664,"PhD Students/ Early Career Researchers Award (International Sociological Association, 2015)


International Sociological Association; Research Committee 52 Professional Groups ",2015
126992,857BC9CE-78E4-490E-99D9-05B736C91B9F,CSF (Centro Stefano Franscini) Award für die beste wissenschaftliche Präsentation,2011
127240,42B77EE2-B4D3-4834-A297-A16CF2AB5F42,Professor ZFH,2011
127240,45138777-D1F8-41D3-BAEF-724154CA1CB7,Professor ZFH,2011
180515,8891B105-A1A8-4044-B718-283827E3E2A8,"Professor Walther Hug-Preis – Jahr 2019
https://www.waltherhugstiftung.ch/de/preistraeger-innen/professor-walther-hug-preise-jahr-2019/",2019
162024,A576044E-38ED-4C44-A868-00791672700D,"Sélection et participation au Collegium of Roman Law 2016 du CEDANT, Université de Pavie.",2016
162024,AF1EB0C8-BC82-4B66-8CD6-B3563B9AD81F,Membre-Boursier de l'Institut Suisse de Rome,2015
151749,AE0D8E06-FB67-4996-AEE7-A74C4B1434F3,"Edie Moore Student Travel Scholarship to attend the 2016 Annual Meeting of the Society for Adolescent Health and Medicine (SAHM), 9-12 March, Washington, D.C., USA ",2016
179834,DD836486-7C9D-42B1-A724-973DD48045D9,"Invitation to the 4th World Laureates Forum (WLF) as Young Researcher. WLF is a global gathering of the prize-winners of several major prizes, e.g. Nobel Prize. It will be held in Shanghai, China from October 29th – November 1st, 2021.
The president of ETH Zurich has been invited to recommend three outstanding young scientists to attend the WLF and, lately, the internal committee lately confirmed the invitation for me. ",2021
179834,256F5B6F-817F-4A85-BA39-3682D19BD13F,"Inviation to submit a paper to the ""Soft Matter Emerging Investigators Series"", which will
highlight the inspiring work being carried out by scientists in the early stages of their independent careers in the field of
soft matter.",2021
179834,40653AF5-D696-4E0C-9FF9-C32B2CAFBBC2,"Poster Prize for the Best Poster presented at the Italian Soft Days 2020.
The prize included the invitation to submit a paper to the journal Soft Matter.
",2020
179834,7500BC4B-82B5-4B9A-B5E6-416C65EF645A,"Invited as Visiting Professor at the Institute of Advanced Mediterranean Studies (IMEDEA) from the University of Balearic Islands (Palma de Mallorca, Spain) for a one-month stay during the month of September 2020 (postponed to September 2021). ",2020
165024,EBB87339-0017-455A-A75B-CCE5047F3210,"German Physical Society Dissertation Prize (Section AMOP: Atoms, Molecules, Quantum Optics, and Plasma) ",2019
168260,ED614E6C-7F64-4021-8599-86FBE9456C74,"Forschungskredit Candoc, awarded by the University of Zurich",2017
134339,94CB9440-669B-4091-9E69-68E8F644D82A,"Prix de Faculté pour la thèse de doctorat ""Lectures littéraires d'étudiants plurilingues et appropriation langagière"" finalisée grâce à la bourse Chercheure débutante à Vancouver, financée par le FNS. ",2013
131339,930006B1-4D35-415A-B3B5-BD457DBF5EA5,Best presentation at IPID 2011 Symposium,2012
131339,5BF2D22D-2D42-4400-A74C-06F8F6135A20,Best presentation at IPID 2012 Symposium,2011
141961,7F9E8685-2B38-4FED-AF68-FFBA32D7EB43,Society for Business Ethics Founders' Award 2012,2012
188141,80E1334B-5987-40A2-B6BC-8780A5B0677F,The SNSF has approved a follow-up Doc.Mobility that will run from October 2021 to the end of March 2022.,2021
158745,4ACA3735-9617-4773-9118-3A811199075E,"1st runner-up (2nd prize) of the JGM Best Paper Award of the track Expatriate Management at the 15th annual Conference of the European Academy of Management (EURAM), 17-20 June 2015, Kozminski University, Varsaw",2015
187873,4CE70F16-4A03-4260-B526-0BF04E6EB499,Prix Casai,2019
161701,32630777-A696-4260-A835-23BCF82C4312,"Winner of Best Student Paper Award, Academy of Management, Conflict Management Division",2015
161701,F4019409-0668-4CDB-9C1B-E63023884680,"Winner Best Student Poster Award, Society for Personality and Social Psychology",2016
192912,7C27ECCF-4391-4C7F-8CFD-1E4FE0A6E61B,"SEIF Awards Tech for Impact, 
Award for Responsible Business, supported by PwC Switzerland",2021
192912,F67C1709-D3F9-4A02-B2C2-3904D57112E0,">>venture>> Startup Competition
First place in our vertical (Industrials & Engineering)",2021
122824,D04A4288-6EB2-4388-AB30-9093FF23B20C,cogito-Preis 2012,2012
188106,1F20B240-6EFB-4D14-9058-D53DE99F79D3,Mit meiner Dissertation 'Platforms for Social Innovation' erlangte ich den akademischen Grad Doktorin der Wirtschaftswissenschaften (Dr. oec. HSG)/Doctor of Philosophy in Management (Ph.D. HSG) mit dem Prädikat 'mit höchster Auszeichnung (summa cum laude)'.,2021
186101,4C67BD3D-DC0B-4FF6-9401-61583C636A8E,Translational Medicine and Biomedical Entrepreneurship,2020
186101,D66FCB2F-E073-48D0-AD62-556C31E29734,Elected Member of the Swiss Young Academia (SYA),2020
186101,5D1CF389-6727-413E-971E-1F12A71D6308,2021 SCI Research Collaboration Grant,2021
154833,2F73580C-1998-4C0F-A871-AAFB21EA4D7A,Technical Development Award of the Society of Photography and Imaging of Japan,2018
154777,FE6BB852-37EB-4CD0-99A4-C637E16CC696,"Best Poster Allergology: Annual Congress of the Swiss Society for Allergology and Immunology (SGAI), March 12-13, 2015, Basel
",2015
186067,E34EF122-70D8-41CC-828E-D09964C7C28B,"Early Career Award (New Journal of Physics)

https://iopscience.iop.org/journal/1367-2630/page/early-career-award

",2020
161146,CDBF00DE-77E8-4AC7-A0E4-B6765D203EE8,"Best short presentation at the 2018 Annual Meetings of the Swiss Society of Neonatology, Berne 16.01.2018",2018
179921,44428DDF-E6FC-412E-987B-B269A0169714,"Best Paper Award, Security Privacy and Applied Cryptography Engineering, 2019.",2019
179921,BE5BE454-A339-4346-B346-103365FF2015,"Best Paper Award, Cryptography and Network Security, 2020 
for the paper ""Energy Analysis of Lightweight AEAD Circuits""",2020
161459,832EEE09-AD74-4DB0-A1B8-A370D4AB3B77,Fondazione Balli,2018
161459,6EEDE449-70E5-43C4-B6B2-B47FF48A6E8A,"European Congress of Immunology, annual meeting, travel grant ",2018
161206,35878B89-0838-4C96-B808-92E0E15DF321,"Nominated for the ETHZ Kite Award 2020, honoring the ETHZ faculty for innovative approaches to learning. Not finalist position. ",2020
161206,60E9BA81-24E3-4C73-BF32-D2E8DFC1F439,Voted best image by the public at ArtSci 2019 – Hémisphères (ETHZ),2019
131716,74C61B01-7206-489E-BAA6-A9A9011820C0,Listenplatz in W3-Berufungsverfahren,2013
131716,357A3137-FF6B-4DB6-9EEB-BBDDB2AA514C,"1. Listenplatz & Ernennung Assistenzprofessur Tenure Track Neuere deutsche Literaturwissenschaft, Universität Genf ",2015
142393,2CBF7C49-E6D7-4F36-92E7-C35C157B6187,Finalist (top five papers) for the Rosabeth Moss Kanter Award for Excellence in Work-Family Research (co-author),2016
142393,D9AA620F-F6EF-41B1-86AD-776CB738A809,1st place of Andre Bussing Memorial Prize of the European Academy of Occupational Health Psychology,2016
131670,E734896A-7157-488D-8534-D0BF32226E79,"Young Scientists Oral Presentation Award, IUSS Commission on Paleopedology",2011
168165,4D3500A5-8639-4946-9A2D-5199255A7F5F,Swiss Foundation against Liver Cancer 2019 award (best publication on hepatocellular carcinoma among the Swiss institutions in 2019),2019
142514,76AA79D4-84E8-4989-83F5-47047BAC5CC1,"Reviewer for Annals of Microbiology

http://www.springer.com/life+sciences/microbiology/journal/13213
",2014
142514,DFB899CA-D168-45A9-A735-544A433CFBFC,"Topic editor of a Frontiers research topic
MICROORGANISMS PRO- AND AGAINST CULTURAL HERITAGE 
Deadline for abstract submission: 01 Dec 2013 
Deadline for full article submission: 01 Mar 2014

Frontiers | Microbiology Research Topics
www.frontiersin.org | twitter.com/FrontiersIn
EPFL - Innovation Square, building I
Lausanne, Switzerland | T +41(0)21 510 17 11
",2013
142514,7FA3A787-8081-437C-AFA7-714154505CE6,"Expertise - JOINT RESEARCH PROJECT FRANCE - SWITZERLAND
PHC Germaine de Staël 2016 / 2017",2015
137068,A42326D0-B798-4583-9353-686D4FBB1C57,"Visiting Professorship (2016) Sustainability Research Institute, School of Earth and Environment, University of Leeds",2016
158602,38588619-F4CC-4826-8B28-CA33AA83EB98,"Legate of Global Innovation and Knowledge Academy (GIKA), representing Switzerland. 
",2015
158602,6D29664C-A73D-4478-8394-4373A3CD38BF,Editorial Review Board member of Journal of Business Research (Innovation and Knowledge domain).,2015
158602,7C3C8507-F5AE-49C2-8257-2882CF761D91,Editorial Review Board member of new Elsevier journal: Journal of Innovation and Knowledge.,2015
158602,EA9A3AE2-FC87-464E-81B0-0AC3FB024CA9,"The article""What passes as a Transparent Field Study in Management?"" was selected as one of the best papers of the program, Academy of Management Annual Meeting (2015) and was published in Academy of Management Proceedings, 2015.
",2015
158602,A5679A15-BA81-44F4-84E1-95FFA7A75899,Swiss Academy of Humanities and Social Sciences Travel Grant,2015
165297,0A7AB0C7-51AB-4BC3-8BA2-C3EFB83F70D3,CTU Research Grant,2016
