PersonNumber,GrantNumber
76862,57835
119654,57836
121709,57836
137483,57836
137484,57836
33155,57836
74663,57836
74664,57836
129259,57837
129262,57837
129263,57837
46197,57837
74664,57837
92740,57837
107539,57850
107540,57850
135618,57850
138526,57850
32928,57850
32928,57850
502848,57850
508186,57850
509324,57850
121796,57863
123090,57863
134613,57863
50326,57863
50326,57863
504857,57863
504858,57863
507232,57863
507374,57863
507375,57863
514833,57863
514834,57863
88571,57863
107046,57866
116905,57866
122140,57866
126216,57866
128805,57866
130960,57866
132343,57866
33145,57866
33145,57866
500486,57866
508032,57866
84554,57866
90314,57866
91241,57866
97477,57866
120549,57881
120550,57881
121597,57881
135145,57881
38250,57881
38250,57881
509246,57881
72378,57881
111978,57883
32195,57883
32195,57883
507803,57883
99798,57883
116716,57894
128296,57894
128297,57894
13215,57894
13215,57894
31928,57894
35939,57894
4140,57894
64624,57894
66419,57894
97836,57894
120532,57941
122964,57941
131186,57941
38172,57941
38172,57941
500412,57941
504369,57941
504371,57941
122482,57950
44391,57950
44391,57950
503609,57950
94473,57950
96384,57950
100940,57969
100940,57969
139178,57969
500206,57969
506370,57969
53573,57969
104734,57982
129594,57982
14144,57982
51211,57982
51211,57982
117274,57989
49198,57989
49198,57989
552884,57989
102152,58000
105989,58000
109694,58000
112006,58000
119790,58000
121341,58000
124547,58000
132672,58000
134962,58000
85805,58000
85805,58000
90773,58000
91236,58000
122309,58040
126906,58040
130972,58040
131732,58040
139364,58040
139367,58040
139368,58040
56841,58040
56841,58040
53440,58043
111857,58049
122471,58049
123788,58049
91171,58049
91171,58049
20316,58066
117446,58075
128377,58075
46934,58075
46934,58075
120158,58085
126168,58085
128540,58085
134523,58085
134524,58085
502618,58085
85957,58085
85957,58085
95020,58085
124559,58097
127750,58097
137420,58097
137421,58097
66552,58097
66552,58097
105051,58108
109298,58108
138829,58108
48703,58108
48703,58108
120570,58111
122516,58111
122517,58111
33114,58111
33114,58111
510220,58111
510221,58111
45815,58148
122289,58151
507931,58151
510290,58151
57709,58151
57709,58151
122061,58173
130031,58173
510803,58173
63816,58173
63816,58173
121993,58215
63230,58215
63230,58215
10071,58228
121689,58228
34923,58228
533205,58241
533205,58241
9255,58247
110891,58248
11780,58248
41075,58248
540438,58248
6558,58248
131495,58250
13468,58250
65682,58250
8108,58250
8108,58250
11107,58253
121668,58253
44536,58253
18354,58254
510288,58254
510717,58254
8057,58254
117401,58256
127276,58256
129884,58256
131071,58256
18928,58256
509624,58256
81389,58256
11692,58258
121903,58258
81717,58258
108574,58263
25711,58263
32982,58263
40741,58263
6421,58263
14775,58264
3319,58264
3779,58264
92061,58264
22181,58265
43909,58265
80525,58265
87314,58265
89655,58265
116042,58266
118853,58266
31192,58266
3779,58266
51170,58266
533069,58266
81497,58266
81778,58266
86416,58266
95017,58266
13190,58267
139175,58267
43906,58267
509877,58267
70523,58267
76611,58267
77603,58267
12292,58268
130879,58268
136324,58268
136325,58268
138858,58268
138859,58268
43705,58268
45575,58268
51700,58268
54577,58268
71432,58268
77791,58268
87488,58268
107159,58269
109548,58269
109548,58269
113418,58269
121117,58269
125257,58269
130345,58269
131162,58269
131789,58269
139176,58269
43386,58269
43952,58269
46424,58269
51714,58269
70597,58269
70597,58269
98724,58269
51640,58271
54326,58271
110921,58273
110923,58273
51622,58273
54240,58273
78508,58273
110927,58274
110927,58274
110941,58274
115804,58274
115805,58274
51640,58274
74438,58274
23480,58275
54303,58275
54305,58275
94260,58275
121501,58276
78345,58276
10365,58277
108621,58277
110931,58277
43557,58277
632970,58277
110934,58278
12497,58278
56990,58278
84978,58278
95037,58278
110946,58282
110948,58282
19086,58282
41038,58282
51715,58282
54312,58282
54315,58282
60699,58282
60699,58282
20304,58283
51703,58283
12506,58284
26300,58284
29541,58284
41038,58284
46118,58284
51703,58284
16133,58285
48681,58285
48681,58285
62216,58285
10587,58287
10587,58288
34100,58288
510761,58288
85687,58288
10587,58289
114492,58289
122354,58289
34100,58289
46959,58289
46959,58289
85687,58289
87165,58289
100372,58291
109205,58291
110930,58291
110930,58291
110939,58291
22263,58291
43322,58291
43984,58291
50508,58291
55859,58291
69878,58291
70497,58291
91431,58291
91431,58291
95060,58291
50458,58294
567297,58294
7238,58294
110930,58295
22263,58295
55859,58295
69878,58295
70472,58295
91431,58295
121461,58298
121928,58298
131927,58298
35241,58298
94735,58298
123786,58304
123787,58304
125972,58304
27059,58304
27857,58304
10223,58310
121979,58310
128894,58310
62222,58310
78780,58310
106749,58311
121274,58311
122548,58311
122549,58311
129015,58311
135733,58311
95621,58311
106766,58312
122272,58312
122273,58312
123149,58312
126209,58312
134865,58312
22070,58312
85287,58312
121789,58315
121790,58315
504881,58315
9316,58315
91359,58318
45056,58319
68727,58319
35805,58329
85472,58329
35805,58332
58563,58332
109687,58345
126634,58346
42538,58346
505590,58346
505592,58346
50924,58346
50924,58346
2610,58351
8139,58351
11554,58352
116239,58352
117107,58352
117126,58352
125502,58352
134039,58352
130726,58354
31102,58354
31102,58354
503443,58354
507151,58354
105462,58357
117284,58357
45345,58357
509556,58357
518617,58357
57357,58357
57357,58357
8348,58357
103161,58373
117364,58373
117364,58373
12223,58373
38824,58373
38824,58373
57523,58373
92363,58373
122010,58375
12297,58375
12297,58375
27992,58375
46009,58375
125856,58377
135408,58377
17900,58377
21260,58377
23167,58377
45154,58377
63630,58377
91439,58377
26328,58381
111000,58397
31708,58398
551545,58398
8937,58407
99376,58420
99376,58420
82296,58421
121885,58425
129665,58425
505705,58425
99376,58425
120740,58426
121763,58426
131289,58426
138877,58426
503187,58426
504502,58426
509199,58426
523112,58426
82296,58426
12018,58427
98194,58430
62915,58431
25948,58440
120584,58445
6341,58445
27239,58446
27239,58446
6341,58446
6341,58446
116035,58447
50458,58447
7238,58447
54830,58448
9809,58448
117469,58450
121869,58450
128394,58450
43738,58450
505400,58450
54692,58450
90614,58450
91564,58450
92230,58450
120055,58451
54692,58451
90614,58451
91564,58451
9789,58451
118772,58452
118773,58452
32844,58452
514817,58452
10384,58457
10384,58457
111157,58457
116030,58457
31038,58457
31038,58457
63547,58457
82663,58457
11634,58459
5362,58459
5362,58461
131772,58462
40703,58462
49661,58462
67660,58462
90645,58462
111776,58463
126309,58463
1662,58463
66549,58463
8053,58463
90334,58463
99993,58463
11634,58464
120761,58464
126128,58464
131160,58464
82662,58464
93910,58464
99097,58464
16142,58474
16142,58474
55758,58476
122445,58477
512401,58477
55758,58477
24037,58478
72540,58478
125971,58479
25186,58479
27857,58480
54057,58480
103619,58481
115335,58481
122230,58481
27857,58481
500087,58481
72879,58481
85287,58481
86995,58481
130331,58484
48725,58484
514776,58484
514776,58484
7860,58484
518978,58485
85730,58487
85730,58487
121616,58496
